"","xvar","yvar","spec","k","fill"
"171",148,"all therapy",0,11,"0"
"172",148,"C",1,11,"11"
"173",148,"B",0,11,"0"
"174",148,"A",0,11,"0"
"175",148,"all sexes",0,11,"0"
"176",148,"male",1,11,"11"
"177",148,"female",0,11,"0"
"178",148,"all groups",0,11,"0"
"179",148,"non-adults",1,11,"11"
"180",148,"adults",0,11,"0"
"181",159,"p-uniform",0,20,"0"
"182",159,"uw",0,20,"0"
"183",159,"fe",0,20,"0"
"184",159,"reml",0,20,"0"
"185",159,"rve",0,20,"0"
"186",159,"3-level",1,20,"20"
"187",159,"all es",0,20,"0"
"188",159,"ES > 3 removed",1,20,"20"
"189",159,"all therapy",0,20,"0"
"190",159,"C",1,20,"20"
"191",159,"B",0,20,"0"
"192",159,"A",0,20,"0"
"193",159,"all sexes",1,20,"20"
"194",159,"male",0,20,"0"
"195",159,"female",0,20,"0"
"196",159,"all groups",0,20,"0"
"197",159,"non-adults",1,20,"20"
"198",159,"adults",0,20,"0"
"199",168,"p-uniform",0,12,"0"
"200",168,"uw",0,12,"0"
"201",168,"fe",0,12,"0"
"202",168,"reml",0,12,"0"
"203",168,"rve",0,12,"0"
"204",168,"3-level",1,12,"12"
"205",168,"all es",0,12,"0"
"206",168,"ES > 3 removed",1,12,"12"
"207",168,"all therapy",1,12,"12"
"208",168,"C",0,12,"0"
"209",168,"B",0,12,"0"
"210",168,"A",0,12,"0"
"211",168,"all sexes",0,12,"0"
"212",168,"male",0,12,"0"
"213",168,"female",1,12,"12"
"214",168,"all groups",0,12,"0"
"215",168,"non-adults",0,12,"0"
"216",168,"adults",1,12,"12"
"217",127,"p-uniform",0,19,"0"
"218",127,"uw",0,19,"0"
"219",127,"fe",0,19,"0"
"220",127,"reml",0,19,"0"
"221",127,"rve",0,19,"0"
"222",127,"3-level",1,19,"19"
"223",127,"all es",0,19,"0"
"224",127,"ES > 3 removed",1,19,"19"
"225",127,"all therapy",1,19,"19"
"226",127,"C",0,19,"0"
"227",127,"B",0,19,"0"
"228",127,"A",0,19,"0"
"229",127,"all sexes",0,19,"0"
"230",127,"male",0,19,"0"
"231",127,"female",1,19,"19"
"232",127,"all groups",0,19,"0"
"233",127,"non-adults",1,19,"19"
"234",127,"adults",0,19,"0"
"235",145,"p-uniform",0,31,"0"
"236",145,"uw",0,31,"0"
"237",145,"fe",0,31,"0"
"238",145,"reml",0,31,"0"
"239",145,"rve",0,31,"0"
"240",145,"3-level",1,31,"31"
"241",145,"all es",0,31,"0"
"242",145,"ES > 3 removed",1,31,"31"
"243",145,"all therapy",1,31,"31"
"244",145,"C",0,31,"0"
"245",145,"B",0,31,"0"
"246",145,"A",0,31,"0"
"247",145,"all sexes",0,31,"0"
"248",145,"male",0,31,"0"
"249",145,"female",1,31,"31"
"250",145,"all groups",1,31,"31"
"251",145,"non-adults",0,31,"0"
"252",145,"adults",0,31,"0"
"253",63,"p-uniform",0,19,"0"
"254",63,"uw",0,19,"0"
"255",63,"fe",0,19,"0"
"256",63,"reml",0,19,"0"
"257",63,"rve",0,19,"0"
"258",63,"3-level",1,19,"19"
"259",63,"all es",0,19,"0"
"260",63,"ES > 3 removed",1,19,"19"
"261",63,"all therapy",1,19,"19"
"262",63,"C",0,19,"0"
"263",63,"B",0,19,"0"
"264",63,"A",0,19,"0"
"265",63,"all sexes",0,19,"0"
"266",63,"male",1,19,"19"
"267",63,"female",0,19,"0"
"268",63,"all groups",0,19,"0"
"269",63,"non-adults",1,19,"19"
"270",63,"adults",0,19,"0"
"271",56,"p-uniform",0,31,"0"
"272",56,"uw",0,31,"0"
"273",56,"fe",0,31,"0"
"274",56,"reml",0,31,"0"
"275",56,"rve",0,31,"0"
"276",56,"3-level",1,31,"31"
"277",56,"all es",0,31,"0"
"278",56,"ES > 3 removed",1,31,"31"
"279",56,"all therapy",1,31,"31"
"280",56,"C",0,31,"0"
"281",56,"B",0,31,"0"
"282",56,"A",0,31,"0"
"283",56,"all sexes",0,31,"0"
"284",56,"male",1,31,"31"
"285",56,"female",0,31,"0"
"286",56,"all groups",1,31,"31"
"287",56,"non-adults",0,31,"0"
"288",56,"adults",0,31,"0"
"289",72,"p-uniform",0,24,"0"
"290",72,"uw",0,24,"0"
"291",72,"fe",0,24,"0"
"292",72,"reml",0,24,"0"
"293",72,"rve",0,24,"0"
"294",72,"3-level",1,24,"24"
"295",72,"all es",0,24,"0"
"296",72,"ES > 3 removed",1,24,"24"
"297",72,"all therapy",1,24,"24"
"298",72,"C",0,24,"0"
"299",72,"B",0,24,"0"
"300",72,"A",0,24,"0"
"301",72,"all sexes",1,24,"24"
"302",72,"male",0,24,"0"
"303",72,"female",0,24,"0"
"304",72,"all groups",0,24,"0"
"305",72,"non-adults",0,24,"0"
"306",72,"adults",1,24,"24"
"307",86,"p-uniform",0,38,"0"
"308",86,"uw",0,38,"0"
"309",86,"fe",0,38,"0"
"310",86,"reml",0,38,"0"
"311",86,"rve",0,38,"0"
"312",86,"3-level",1,38,"38"
"313",86,"all es",0,38,"0"
"314",86,"ES > 3 removed",1,38,"38"
"315",86,"all therapy",1,38,"38"
"316",86,"C",0,38,"0"
"317",86,"B",0,38,"0"
"318",86,"A",0,38,"0"
"319",86,"all sexes",1,38,"38"
"320",86,"male",0,38,"0"
"321",86,"female",0,38,"0"
"322",86,"all groups",0,38,"0"
"323",86,"non-adults",1,38,"38"
"324",86,"adults",0,38,"0"
"325",82,"p-uniform",0,62,"0"
"326",82,"uw",0,62,"0"
"327",82,"fe",0,62,"0"
"328",82,"reml",0,62,"0"
"329",82,"rve",0,62,"0"
"330",82,"3-level",1,62,"62"
"331",82,"all es",0,62,"0"
"332",82,"ES > 3 removed",1,62,"62"
"333",82,"all therapy",1,62,"62"
"334",82,"C",0,62,"0"
"335",82,"B",0,62,"0"
"336",82,"A",0,62,"0"
"337",82,"all sexes",1,62,"62"
"338",82,"male",0,62,"0"
"339",82,"female",0,62,"0"
"340",82,"all groups",1,62,"62"
"341",82,"non-adults",0,62,"0"
"342",82,"adults",0,62,"0"
"343",172,"p-uniform",0,2,"0"
"344",172,"uw",0,2,"0"
"345",172,"fe",0,2,"0"
"346",172,"reml",0,2,"0"
"347",172,"rve",0,2,"0"
"348",172,"3-level",1,2,"2"
"349",172,"all es",1,2,"2"
"350",172,"ES > 3 removed",0,2,"0"
"351",172,"all therapy",0,2,"0"
"352",172,"C",0,2,"0"
"353",172,"B",0,2,"0"
"354",172,"A",1,2,"2"
"355",172,"all sexes",0,2,"0"
"356",172,"male",1,2,"2"
"357",172,"female",0,2,"0"
"358",172,"all groups",0,2,"0"
"359",172,"non-adults",1,2,"2"
"360",172,"adults",0,2,"0"
"361",137,"p-uniform",0,12,"0"
"362",137,"uw",0,12,"0"
"363",137,"fe",0,12,"0"
"364",137,"reml",0,12,"0"
"365",137,"rve",0,12,"0"
"366",137,"3-level",1,12,"12"
"367",137,"all es",1,12,"12"
"368",137,"ES > 3 removed",0,12,"0"
"369",137,"all therapy",0,12,"0"
"370",137,"C",0,12,"0"
"371",137,"B",0,12,"0"
"372",137,"A",1,12,"12"
"373",137,"all sexes",1,12,"12"
"374",137,"male",0,12,"0"
"375",137,"female",0,12,"0"
"376",137,"all groups",0,12,"0"
"377",137,"non-adults",1,12,"12"
"378",137,"adults",0,12,"0"
"379",146,"p-uniform",0,23,"0"
"380",146,"uw",0,23,"0"
"381",146,"fe",0,23,"0"
"382",146,"reml",0,23,"0"
"383",146,"rve",0,23,"0"
"384",146,"3-level",1,23,"23"
"385",146,"all es",1,23,"23"
"386",146,"ES > 3 removed",0,23,"0"
"387",146,"all therapy",0,23,"0"
"388",146,"C",0,23,"0"
"389",146,"B",0,23,"0"
"390",146,"A",1,23,"23"
"391",146,"all sexes",1,23,"23"
"392",146,"male",0,23,"0"
"393",146,"female",0,23,"0"
"394",146,"all groups",1,23,"23"
"395",146,"non-adults",0,23,"0"
"396",146,"adults",0,23,"0"
"397",41,"p-uniform",0,9,"0"
"398",41,"uw",0,9,"0"
"399",41,"fe",0,9,"0"
"400",41,"reml",0,9,"0"
"401",41,"rve",0,9,"0"
"402",41,"3-level",1,9,"9"
"403",41,"all es",1,9,"9"
"404",41,"ES > 3 removed",0,9,"0"
"405",41,"all therapy",0,9,"0"
"406",41,"C",0,9,"0"
"407",41,"B",1,9,"9"
"408",41,"A",0,9,"0"
"409",41,"all sexes",0,9,"0"
"410",41,"male",1,9,"9"
"411",41,"female",0,9,"0"
"412",41,"all groups",0,9,"0"
"413",41,"non-adults",1,9,"9"
"414",41,"adults",0,9,"0"
"415",35,"p-uniform",0,21,"0"
"416",35,"uw",0,21,"0"
"417",35,"fe",0,21,"0"
"418",35,"reml",0,21,"0"
"419",35,"rve",0,21,"0"
"420",35,"3-level",1,21,"21"
"421",35,"all es",1,21,"21"
"422",35,"ES > 3 removed",0,21,"0"
"423",35,"all therapy",0,21,"0"
"424",35,"C",0,21,"0"
"425",35,"B",1,21,"21"
"426",35,"A",0,21,"0"
"427",35,"all sexes",0,21,"0"
"428",35,"male",1,21,"21"
"429",35,"female",0,21,"0"
"430",35,"all groups",1,21,"21"
"431",35,"non-adults",0,21,"0"
"432",35,"adults",0,21,"0"
"433",51,"p-uniform",0,22,"0"
"434",51,"uw",0,22,"0"
"435",51,"fe",0,22,"0"
"436",51,"reml",0,22,"0"
"437",51,"rve",0,22,"0"
"438",51,"3-level",1,22,"22"
"439",51,"all es",1,22,"22"
"440",51,"ES > 3 removed",0,22,"0"
"441",51,"all therapy",0,22,"0"
"442",51,"C",0,22,"0"
"443",51,"B",1,22,"22"
"444",51,"A",0,22,"0"
"445",51,"all sexes",1,22,"22"
"446",51,"male",0,22,"0"
"447",51,"female",0,22,"0"
"448",51,"all groups",1,22,"22"
"449",51,"non-adults",0,22,"0"
"450",51,"adults",0,22,"0"
"451",120,"p-uniform",0,22,"0"
"452",120,"uw",0,22,"0"
"453",120,"fe",0,22,"0"
"454",120,"reml",0,22,"0"
"455",120,"rve",0,22,"0"
"456",120,"3-level",1,22,"22"
"457",120,"all es",1,22,"22"
"458",120,"ES > 3 removed",0,22,"0"
"459",120,"all therapy",1,22,"22"
"460",120,"C",0,22,"0"
"461",120,"B",0,22,"0"
"462",120,"A",0,22,"0"
"463",120,"all sexes",0,22,"0"
"464",120,"male",1,22,"22"
"465",120,"female",0,22,"0"
"466",120,"all groups",0,22,"0"
"467",120,"non-adults",1,22,"22"
"468",120,"adults",0,22,"0"
"469",77,"p-uniform",0,34,"0"
"470",77,"uw",0,34,"0"
"471",77,"fe",0,34,"0"
"472",77,"reml",0,34,"0"
"473",77,"rve",0,34,"0"
"474",77,"3-level",1,34,"34"
"475",77,"all es",1,34,"34"
"476",77,"ES > 3 removed",0,34,"0"
"477",77,"all therapy",1,34,"34"
"478",77,"C",0,34,"0"
"479",77,"B",0,34,"0"
"480",77,"A",0,34,"0"
"481",77,"all sexes",0,34,"0"
"482",77,"male",1,34,"34"
"483",77,"female",0,34,"0"
"484",77,"all groups",1,34,"34"
"485",77,"non-adults",0,34,"0"
"486",77,"adults",0,34,"0"
"487",112,"p-uniform",0,41,"0"
"488",112,"uw",0,41,"0"
"489",112,"fe",0,41,"0"
"490",112,"reml",0,41,"0"
"491",112,"rve",0,41,"0"
"492",112,"3-level",1,41,"41"
"493",112,"all es",1,41,"41"
"494",112,"ES > 3 removed",0,41,"0"
"495",112,"all therapy",1,41,"41"
"496",112,"C",0,41,"0"
"497",112,"B",0,41,"0"
"498",112,"A",0,41,"0"
"499",112,"all sexes",1,41,"41"
"500",112,"male",0,41,"0"
"501",112,"female",0,41,"0"
"502",112,"all groups",0,41,"0"
"503",112,"non-adults",1,41,"41"
"504",112,"adults",0,41,"0"
"505",104,"p-uniform",0,65,"0"
"506",104,"uw",0,65,"0"
"507",104,"fe",0,65,"0"
"508",104,"reml",0,65,"0"
"509",104,"rve",0,65,"0"
"510",104,"3-level",1,65,"65"
"511",104,"all es",1,65,"65"
"512",104,"ES > 3 removed",0,65,"0"
"513",104,"all therapy",1,65,"65"
"514",104,"C",0,65,"0"
"515",104,"B",0,65,"0"
"516",104,"A",0,65,"0"
"517",104,"all sexes",1,65,"65"
"518",104,"male",0,65,"0"
"519",104,"female",0,65,"0"
"520",104,"all groups",1,65,"65"
"521",104,"non-adults",0,65,"0"
"522",104,"adults",0,65,"0"
"523",142,"p-uniform",0,11,"0"
"524",142,"uw",0,11,"0"
"525",142,"fe",0,11,"0"
"526",142,"reml",0,11,"0"
"527",142,"rve",1,11,"11"
"528",142,"3-level",0,11,"0"
"529",142,"all es",0,11,"0"
"530",142,"ES > 3 removed",1,11,"11"
"531",142,"all therapy",0,11,"0"
"532",142,"C",0,11,"0"
"533",142,"B",0,11,"0"
"534",142,"A",1,11,"11"
"535",142,"all sexes",0,11,"0"
"536",142,"male",0,11,"0"
"537",142,"female",1,11,"11"
"538",142,"all groups",0,11,"0"
"539",142,"non-adults",0,11,"0"
"540",142,"adults",1,11,"11"
"541",90,"p-uniform",0,10,"0"
"542",90,"uw",0,10,"0"
"543",90,"fe",0,10,"0"
"544",90,"reml",0,10,"0"
"545",90,"rve",1,10,"10"
"546",90,"3-level",0,10,"0"
"547",90,"all es",0,10,"0"
"548",90,"ES > 3 removed",1,10,"10"
"549",90,"all therapy",0,10,"0"
"550",90,"C",0,10,"0"
"551",90,"B",0,10,"0"
"552",90,"A",1,10,"10"
"553",90,"all sexes",0,10,"0"
"554",90,"male",0,10,"0"
"555",90,"female",1,10,"10"
"556",90,"all groups",0,10,"0"
"557",90,"non-adults",1,10,"10"
"558",90,"adults",0,10,"0"
"559",114,"p-uniform",0,21,"0"
"560",114,"uw",0,21,"0"
"561",114,"fe",0,21,"0"
"562",114,"reml",0,21,"0"
"563",114,"rve",1,21,"21"
"564",114,"3-level",0,21,"0"
"565",114,"all es",0,21,"0"
"566",114,"ES > 3 removed",1,21,"21"
"567",114,"all therapy",0,21,"0"
"568",114,"C",0,21,"0"
"569",114,"B",0,21,"0"
"570",114,"A",1,21,"21"
"571",114,"all sexes",0,21,"0"
"572",114,"male",0,21,"0"
"573",114,"female",1,21,"21"
"574",114,"all groups",1,21,"21"
"575",114,"non-adults",0,21,"0"
"576",114,"adults",0,21,"0"
"577",22,"p-uniform",0,12,"0"
"578",22,"uw",0,12,"0"
"579",22,"fe",0,12,"0"
"580",22,"reml",0,12,"0"
"581",22,"rve",1,12,"12"
"582",22,"3-level",0,12,"0"
"583",22,"all es",0,12,"0"
"584",22,"ES > 3 removed",1,12,"12"
"585",22,"all therapy",0,12,"0"
"586",22,"C",0,12,"0"
"587",22,"B",1,12,"12"
"588",22,"A",0,12,"0"
"589",22,"all sexes",0,12,"0"
"590",22,"male",1,12,"12"
"591",22,"female",0,12,"0"
"592",22,"all groups",0,12,"0"
"593",22,"non-adults",0,12,"0"
"594",22,"adults",1,12,"12"
"595",4,"p-uniform",0,8,"0"
"596",4,"uw",0,8,"0"
"597",4,"fe",0,8,"0"
"598",4,"reml",0,8,"0"
"599",4,"rve",1,8,"8"
"600",4,"3-level",0,8,"0"
"601",4,"all es",0,8,"0"
"602",4,"ES > 3 removed",1,8,"8"
"603",4,"all therapy",0,8,"0"
"604",4,"C",0,8,"0"
"605",4,"B",1,8,"8"
"606",4,"A",0,8,"0"
"607",4,"all sexes",0,8,"0"
"608",4,"male",1,8,"8"
"609",4,"female",0,8,"0"
"610",4,"all groups",0,8,"0"
"611",4,"non-adults",1,8,"8"
"612",4,"adults",0,8,"0"
"613",11,"p-uniform",0,20,"0"
"614",11,"uw",0,20,"0"
"615",11,"fe",0,20,"0"
"616",11,"reml",0,20,"0"
"617",11,"rve",1,20,"20"
"618",11,"3-level",0,20,"0"
"619",11,"all es",0,20,"0"
"620",11,"ES > 3 removed",1,20,"20"
"621",11,"all therapy",0,20,"0"
"622",11,"C",0,20,"0"
"623",11,"B",1,20,"20"
"624",11,"A",0,20,"0"
"625",11,"all sexes",0,20,"0"
"626",11,"male",1,20,"20"
"627",11,"female",0,20,"0"
"628",11,"all groups",1,20,"20"
"629",11,"non-adults",0,20,"0"
"630",11,"adults",0,20,"0"
"631",47,"p-uniform",0,13,"0"
"632",47,"uw",0,13,"0"
"633",47,"fe",0,13,"0"
"634",47,"reml",0,13,"0"
"635",47,"rve",1,13,"13"
"636",47,"3-level",0,13,"0"
"637",47,"all es",0,13,"0"
"638",47,"ES > 3 removed",1,13,"13"
"639",47,"all therapy",0,13,"0"
"640",47,"C",0,13,"0"
"641",47,"B",1,13,"13"
"642",47,"A",0,13,"0"
"643",47,"all sexes",1,13,"13"
"644",47,"male",0,13,"0"
"645",47,"female",0,13,"0"
"646",47,"all groups",0,13,"0"
"647",47,"non-adults",0,13,"0"
"648",47,"adults",1,13,"13"
"649",27,"p-uniform",0,21,"0"
"650",27,"uw",0,21,"0"
"651",27,"fe",0,21,"0"
"652",27,"reml",0,21,"0"
"653",27,"rve",1,21,"21"
"654",27,"3-level",0,21,"0"
"655",27,"all es",0,21,"0"
"656",27,"ES > 3 removed",1,21,"21"
"657",27,"all therapy",0,21,"0"
"658",27,"C",0,21,"0"
"659",27,"B",1,21,"21"
"660",27,"A",0,21,"0"
"661",27,"all sexes",1,21,"21"
"662",27,"male",0,21,"0"
"663",27,"female",0,21,"0"
"664",27,"all groups",1,21,"21"
"665",27,"non-adults",0,21,"0"
"666",27,"adults",0,21,"0"
"667",29,"p-uniform",0,9,"0"
"668",29,"uw",0,9,"0"
"669",29,"fe",0,9,"0"
"670",29,"reml",0,9,"0"
"671",29,"rve",1,9,"9"
"672",29,"3-level",0,9,"0"
"673",29,"all es",0,9,"0"
"674",29,"ES > 3 removed",1,9,"9"
"675",29,"all therapy",0,9,"0"
"676",29,"C",1,9,"9"
"677",29,"B",0,9,"0"
"678",29,"A",0,9,"0"
"679",29,"all sexes",0,9,"0"
"680",29,"male",0,9,"0"
"681",29,"female",1,9,"9"
"682",29,"all groups",0,9,"0"
"683",29,"non-adults",1,9,"9"
"684",29,"adults",0,9,"0"
"685",149,"p-uniform",0,11,"0"
"686",149,"uw",0,11,"0"
"687",149,"fe",0,11,"0"
"688",149,"reml",0,11,"0"
"689",149,"rve",1,11,"11"
"690",149,"3-level",0,11,"0"
"691",149,"all es",0,11,"0"
"692",149,"ES > 3 removed",1,11,"11"
"693",149,"all therapy",0,11,"0"
"694",149,"C",1,11,"11"
"695",149,"B",0,11,"0"
"696",149,"A",0,11,"0"
"697",149,"all sexes",0,11,"0"
"698",149,"male",1,11,"11"
"699",149,"female",0,11,"0"
"700",149,"all groups",0,11,"0"
"701",149,"non-adults",1,11,"11"
"702",149,"adults",0,11,"0"
"703",160,"p-uniform",0,20,"0"
"704",160,"uw",0,20,"0"
"705",160,"fe",0,20,"0"
"706",160,"reml",0,20,"0"
"707",160,"rve",1,20,"20"
"708",160,"3-level",0,20,"0"
"709",160,"all es",0,20,"0"
"710",160,"ES > 3 removed",1,20,"20"
"711",160,"all therapy",0,20,"0"
"712",160,"C",1,20,"20"
"713",160,"B",0,20,"0"
"714",160,"A",0,20,"0"
"715",160,"all sexes",1,20,"20"
"716",160,"male",0,20,"0"
"717",160,"female",0,20,"0"
"718",160,"all groups",0,20,"0"
"719",160,"non-adults",1,20,"20"
"720",160,"adults",0,20,"0"
"721",167,"p-uniform",0,12,"0"
"722",167,"uw",0,12,"0"
"723",167,"fe",0,12,"0"
"724",167,"reml",0,12,"0"
"725",167,"rve",1,12,"12"
"726",167,"3-level",0,12,"0"
"727",167,"all es",0,12,"0"
"728",167,"ES > 3 removed",1,12,"12"
"729",167,"all therapy",1,12,"12"
"730",167,"C",0,12,"0"
"731",167,"B",0,12,"0"
"732",167,"A",0,12,"0"
"733",167,"all sexes",0,12,"0"
"734",167,"male",0,12,"0"
"735",167,"female",1,12,"12"
"736",167,"all groups",0,12,"0"
"737",167,"non-adults",0,12,"0"
"738",167,"adults",1,12,"12"
"739",126,"p-uniform",0,19,"0"
"740",126,"uw",0,19,"0"
"741",126,"fe",0,19,"0"
"742",126,"reml",0,19,"0"
"743",126,"rve",1,19,"19"
"744",126,"3-level",0,19,"0"
"745",126,"all es",0,19,"0"
"746",126,"ES > 3 removed",1,19,"19"
"747",126,"all therapy",1,19,"19"
"748",126,"C",0,19,"0"
"749",126,"B",0,19,"0"
"750",126,"A",0,19,"0"
"751",126,"all sexes",0,19,"0"
"752",126,"male",0,19,"0"
"753",126,"female",1,19,"19"
"754",126,"all groups",0,19,"0"
"755",126,"non-adults",1,19,"19"
"756",126,"adults",0,19,"0"
"757",144,"p-uniform",0,31,"0"
"758",144,"uw",0,31,"0"
"759",144,"fe",0,31,"0"
"760",144,"reml",0,31,"0"
"761",144,"rve",1,31,"31"
"762",144,"3-level",0,31,"0"
"763",144,"all es",0,31,"0"
"764",144,"ES > 3 removed",1,31,"31"
"765",144,"all therapy",1,31,"31"
"766",144,"C",0,31,"0"
"767",144,"B",0,31,"0"
"768",144,"A",0,31,"0"
"769",144,"all sexes",0,31,"0"
"770",144,"male",0,31,"0"
"771",144,"female",1,31,"31"
"772",144,"all groups",1,31,"31"
"773",144,"non-adults",0,31,"0"
"774",144,"adults",0,31,"0"
"775",64,"p-uniform",0,19,"0"
"776",64,"uw",0,19,"0"
"777",64,"fe",0,19,"0"
"778",64,"reml",0,19,"0"
"779",64,"rve",1,19,"19"
"780",64,"3-level",0,19,"0"
"781",64,"all es",0,19,"0"
"782",64,"ES > 3 removed",1,19,"19"
"783",64,"all therapy",1,19,"19"
"784",64,"C",0,19,"0"
"785",64,"B",0,19,"0"
"786",64,"A",0,19,"0"
"787",64,"all sexes",0,19,"0"
"788",64,"male",1,19,"19"
"789",64,"female",0,19,"0"
"790",64,"all groups",0,19,"0"
